Hour,Month,Weekend,Holiday,Promotion,Reservations,Year,Day,DayOfYear,WeekOfYear,Lag_1_Day,Lag_7_Days,Rolling_7,DayOfWeek_Monday,DayOfWeek_Saturday,DayOfWeek_Sunday,DayOfWeek_Thursday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,Weather_Rainy,Weather_Sunny
19,1,0,0,0,56,2023,5,5,1,9.0,0.0,12.4,False,False,False,True,False,False,False,True
20,1,0,0,0,56,2023,5,5,1,13.0,0.0,10.8,False,False,False,True,False,False,False,True
21,1,0,0,0,56,2023,5,5,1,10.0,0.0,7.2,False,False,False,True,False,False,False,True
22,1,0,0,0,56,2023,5,5,1,6.0,0.0,3.4,False,False,False,True,False,False,False,True
11,1,1,0,0,90,2023,6,6,1,5.0,0.0,4.666666666666667,False,False,False,False,False,False,False,False
12,1,1,0,0,90,2023,6,6,1,13.0,0.0,10.833333333333334,False,False,False,False,False,False,False,False
13,1,1,0,0,90,2023,6,6,1,10.0,0.0,8.833333333333334,False,False,False,False,False,False,False,False
14,1,1,0,0,90,2023,6,6,1,9.0,0.0,10.5,False,False,False,False,False,False,False,False
15,1,1,0,0,90,2023,6,6,1,0.0,0.0,2.8333333333333335,False,False,False,False,False,False,False,False
16,1,1,0,0,90,2023,6,6,1,2.0,0.0,3.3333333333333335,False,False,False,False,False,False,False,False
17,1,1,0,0,90,2023,6,6,1,11.0,0.0,3.6666666666666665,False,False,False,False,False,False,False,False
18,1,1,0,0,90,2023,6,6,1,4.0,0.0,8.833333333333334,False,False,False,False,False,False,False,False
19,1,1,0,0,90,2023,6,6,1,15.0,0.0,13.5,False,False,False,False,False,False,False,False
20,1,1,0,0,90,2023,6,6,1,17.0,0.0,11.5,False,False,False,False,False,False,False,False
21,1,1,0,0,90,2023,6,6,1,8.0,0.0,7.833333333333333,False,False,False,False,False,False,False,False
22,1,1,0,0,90,2023,6,6,1,0.0,0.0,2.8333333333333335,False,False,False,False,False,False,False,False
11,1,1,0,1,52,2023,7,7,1,7.0,0.0,4.571428571428571,False,True,False,False,False,False,False,True
12,1,1,0,1,52,2023,7,7,1,9.0,0.0,10.428571428571429,False,True,False,False,False,False,False,True
13,1,1,0,1,52,2023,7,7,1,16.0,0.0,9.571428571428571,False,True,False,False,False,False,False,True
14,1,1,0,1,52,2023,7,7,1,17.0,0.0,11.142857142857142,False,True,False,False,False,False,False,True
15,1,1,0,1,52,2023,7,7,1,5.0,0.0,3.2857142857142856,False,True,False,False,False,False,False,True
16,1,1,0,1,52,2023,7,7,1,11.0,0.0,3.4285714285714284,False,True,False,False,False,False,False,True
17,1,1,0,1,52,2023,7,7,1,0.0,0.0,5.0,False,True,False,False,False,False,False,True
18,1,1,0,1,52,2023,7,7,1,17.0,0.0,10.428571428571429,False,True,False,False,False,False,False,True
19,1,1,0,1,52,2023,7,7,1,19.0,0.0,14.857142857142858,False,True,False,False,False,False,False,True
20,1,1,0,1,52,2023,7,7,1,15.0,0.0,12.857142857142858,False,True,False,False,False,False,False,True
21,1,1,0,1,52,2023,7,7,1,11.0,0.0,9.285714285714286,False,True,False,False,False,False,False,True
22,1,1,0,1,52,2023,7,7,1,0.0,0.0,3.142857142857143,False,True,False,False,False,False,False,True
11,1,0,0,0,71,2023,8,8,1,4.0,1.0,4.714285714285714,False,False,True,False,False,False,False,True
12,1,0,0,0,71,2023,8,8,1,8.0,10.0,10.285714285714286,False,False,True,False,False,False,False,True
13,1,0,0,0,71,2023,8,8,1,14.0,11.0,8.571428571428571,False,False,True,False,False,False,False,True
14,1,0,0,0,71,2023,8,8,1,15.0,12.0,9.714285714285714,False,False,True,False,False,False,False,True
15,1,0,0,0,71,2023,8,8,1,6.0,0.0,3.857142857142857,False,False,True,False,False,False,False,True
16,1,0,0,0,71,2023,8,8,1,4.0,2.0,3.142857142857143,False,False,True,False,False,False,False,True
17,1,0,0,0,71,2023,8,8,1,13.0,0.0,6.857142857142857,False,False,True,False,False,False,False,True
18,1,0,0,0,71,2023,8,8,1,20.0,7.0,10.571428571428571,False,False,True,False,False,False,False,True
19,1,0,0,0,71,2023,8,8,1,23.0,13.0,14.142857142857142,False,False,True,False,False,False,False,True
20,1,0,0,0,71,2023,8,8,1,21.0,7.0,12.857142857142858,False,False,True,False,False,False,False,True
21,1,0,0,0,71,2023,8,8,1,18.0,7.0,9.0,False,False,True,False,False,False,False,True
22,1,0,0,0,71,2023,8,8,1,5.0,2.0,2.857142857142857,False,False,True,False,False,False,False,True
11,1,0,0,0,20,2023,9,9,2,2.0,11.0,3.142857142857143,True,False,False,False,False,False,True,False
12,1,0,0,0,20,2023,9,9,2,9.0,18.0,8.285714285714286,True,False,False,False,False,False,True,False
13,1,0,0,0,20,2023,9,9,2,4.0,5.0,8.285714285714286,True,False,False,False,False,False,True,False
14,1,0,0,0,20,2023,9,9,2,2.0,12.0,8.142857142857142,True,False,False,False,False,False,True,False
15,1,0,0,0,20,2023,9,9,2,4.0,4.0,4.142857142857143,True,False,False,False,False,False,True,False
16,1,0,0,0,20,2023,9,9,2,0.0,4.0,3.4285714285714284,True,False,False,False,False,False,True,False
17,1,0,0,0,20,2023,9,9,2,13.0,3.0,6.714285714285714,True,False,False,False,False,False,True,False
18,1,0,0,0,20,2023,9,9,2,8.0,18.0,8.714285714285714,True,False,False,False,False,False,True,False
19,1,0,0,0,20,2023,9,9,2,8.0,17.0,13.428571428571429,True,False,False,False,False,False,True,False
20,1,0,0,0,20,2023,9,9,2,7.0,17.0,10.571428571428571,True,False,False,False,False,False,True,False
21,1,0,0,0,20,2023,9,9,2,5.0,11.0,8.285714285714286,True,False,False,False,False,False,True,False
22,1,0,0,0,20,2023,9,9,2,0.0,7.0,3.142857142857143,True,False,False,False,False,False,True,False
11,1,0,1,0,72,2023,10,10,2,0.0,0.0,4.428571428571429,False,False,False,False,True,False,False,False
12,1,0,1,0,72,2023,10,10,2,4.0,3.0,8.857142857142858,False,False,False,False,True,False,False,False
13,1,0,1,0,72,2023,10,10,2,3.0,4.0,9.285714285714286,False,False,False,False,True,False,False,False
14,1,0,1,0,72,2023,10,10,2,1.0,12.0,8.285714285714286,False,False,False,False,True,False,False,False
15,1,0,1,0,72,2023,10,10,2,6.0,1.0,4.285714285714286,False,False,False,False,True,False,False,False
16,1,0,1,0,72,2023,10,10,2,6.0,0.0,4.857142857142857,False,False,False,False,True,False,False,False
17,1,0,1,0,72,2023,10,10,2,2.0,7.0,7.714285714285714,False,False,False,False,True,False,False,False
18,1,0,1,0,72,2023,10,10,2,5.0,1.0,11.142857142857142,False,False,False,False,True,False,False,False
19,1,0,1,0,72,2023,10,10,2,12.0,8.0,14.285714285714286,False,False,False,False,True,False,False,False
20,1,0,1,0,72,2023,10,10,2,1.0,0.0,12.857142857142858,False,False,False,False,True,False,False,False
21,1,0,1,0,72,2023,10,10,2,6.0,0.0,9.428571428571429,False,False,False,False,True,False,False,False
22,1,0,1,0,72,2023,10,10,2,9.0,2.0,3.857142857142857,False,False,False,False,True,False,False,False
11,1,0,0,0,83,2023,11,11,2,9.0,4.0,4.857142857142857,False,False,False,False,False,True,False,True
12,1,0,0,0,83,2023,11,11,2,7.0,12.0,8.428571428571429,False,False,False,False,False,True,False,True
13,1,0,0,0,83,2023,11,11,2,11.0,7.0,9.0,False,False,False,False,False,True,False,True
14,1,0,0,0,83,2023,11,11,2,13.0,1.0,8.714285714285714,False,False,False,False,False,True,False,True
15,1,0,0,0,83,2023,11,11,2,2.0,7.0,4.285714285714286,False,False,False,False,False,True,False,True
16,1,0,0,0,83,2023,11,11,2,10.0,1.0,5.428571428571429,False,False,False,False,False,True,False,True
17,1,0,0,0,83,2023,11,11,2,14.0,1.0,8.0,False,False,False,False,False,True,False,True
18,1,0,0,0,83,2023,11,11,2,18.0,6.0,11.285714285714286,False,False,False,False,False,True,False,True
19,1,0,0,0,83,2023,11,11,2,14.0,9.0,14.571428571428571,False,False,False,False,False,True,False,True
20,1,0,0,0,83,2023,11,11,2,16.0,13.0,12.857142857142858,False,False,False,False,False,True,False,True
21,1,0,0,0,83,2023,11,11,2,8.0,10.0,9.571428571428571,False,False,False,False,False,True,False,True
22,1,0,0,0,83,2023,11,11,2,7.0,6.0,3.4285714285714284,False,False,False,False,False,True,False,True
11,1,0,0,0,46,2023,12,12,2,7.0,5.0,4.142857142857143,False,False,False,True,False,False,False,False
12,1,0,0,0,46,2023,12,12,2,9.0,13.0,7.571428571428571,False,False,False,True,False,False,False,False
13,1,0,0,0,46,2023,12,12,2,5.0,10.0,9.571428571428571,False,False,False,True,False,False,False,False
14,1,0,0,0,46,2023,12,12,2,4.0,9.0,7.714285714285714,False,False,False,True,False,False,False,False
15,1,0,0,0,46,2023,12,12,2,7.0,0.0,4.857142857142857,False,False,False,True,False,False,False,False
16,1,0,0,0,46,2023,12,12,2,5.0,2.0,6.285714285714286,False,False,False,True,False,False,False,False
17,1,0,0,0,46,2023,12,12,2,3.0,11.0,6.428571428571429,False,False,False,True,False,False,False,False
18,1,0,0,0,46,2023,12,12,2,7.0,4.0,12.142857142857142,False,False,False,True,False,False,False,False
19,1,0,0,0,46,2023,12,12,2,11.0,15.0,14.428571428571429,False,False,False,True,False,False,False,False
20,1,0,0,0,46,2023,12,12,2,13.0,17.0,12.571428571428571,False,False,False,True,False,False,False,False
21,1,0,0,0,46,2023,12,12,2,11.0,8.0,8.714285714285714,False,False,False,True,False,False,False,False
22,1,0,0,0,46,2023,12,12,2,3.0,0.0,3.4285714285714284,False,False,False,True,False,False,False,False
11,1,1,1,1,56,2023,13,13,2,0.0,7.0,4.428571428571429,False,False,False,False,False,False,False,True
12,1,1,1,1,56,2023,13,13,2,7.0,9.0,9.0,False,False,False,False,False,False,False,True
13,1,1,1,1,56,2023,13,13,2,14.0,16.0,11.142857142857142,False,False,False,False,False,False,False,True
14,1,1,1,1,56,2023,13,13,2,2.0,17.0,7.571428571428571,False,False,False,False,False,False,False,True
15,1,1,1,1,56,2023,13,13,2,4.0,5.0,5.714285714285714,False,False,False,False,False,False,False,True
16,1,1,1,1,56,2023,13,13,2,8.0,11.0,6.428571428571429,False,False,False,False,False,False,False,True
17,1,1,1,1,56,2023,13,13,2,0.0,0.0,7.285714285714286,False,False,False,False,False,False,False,True
18,1,1,1,1,56,2023,13,13,2,10.0,17.0,13.285714285714286,False,False,False,False,False,False,False,True
19,1,1,1,1,56,2023,13,13,2,14.0,19.0,15.285714285714286,False,False,False,False,False,False,False,True
20,1,1,1,1,56,2023,13,13,2,15.0,15.0,13.428571428571429,False,False,False,False,False,False,False,True
21,1,1,1,1,56,2023,13,13,2,2.0,11.0,7.857142857142857,False,False,False,False,False,False,False,True
22,1,1,1,1,56,2023,13,13,2,0.0,0.0,3.857142857142857,False,False,False,False,False,False,False,True
11,1,1,0,0,35,2023,14,14,2,9.0,4.0,3.857142857142857,False,True,False,False,False,False,False,True
12,1,1,0,0,35,2023,14,14,2,19.0,8.0,9.571428571428571,False,True,False,False,False,False,False,True
13,1,1,0,0,35,2023,14,14,2,27.0,14.0,12.142857142857142,False,True,False,False,False,False,False,True
14,1,1,0,0,35,2023,14,14,2,16.0,15.0,6.571428571428571,False,True,False,False,False,False,False,True
15,1,1,0,0,35,2023,14,14,2,11.0,6.0,5.142857142857143,False,True,False,False,False,False,False,True
16,1,1,0,0,35,2023,14,14,2,12.0,4.0,7.142857142857143,False,True,False,False,False,False,False,True
17,1,1,0,0,35,2023,14,14,2,6.0,13.0,7.0,False,True,False,False,False,False,False,True
18,1,1,0,0,35,2023,14,14,2,25.0,20.0,14.142857142857142,False,True,False,False,False,False,False,True
19,1,1,0,0,35,2023,14,14,2,25.0,23.0,13.857142857142858,False,True,False,False,False,False,False,True
20,1,1,0,0,35,2023,14,14,2,21.0,21.0,13.285714285714286,False,True,False,False,False,False,False,True
21,1,1,0,0,35,2023,14,14,2,5.0,18.0,7.0,False,True,False,False,False,False,False,True
22,1,1,0,0,35,2023,14,14,2,3.0,5.0,3.7142857142857144,False,True,False,False,False,False,False,True
11,1,0,0,0,50,2023,15,15,2,0.0,2.0,4.285714285714286,False,False,True,False,False,False,False,True
12,1,0,0,0,50,2023,15,15,2,12.0,9.0,10.0,False,False,True,False,False,False,False,True
13,1,0,0,0,50,2023,15,15,2,21.0,4.0,13.285714285714286,False,False,True,False,False,False,False,True
14,1,0,0,0,50,2023,15,15,2,8.0,2.0,8.142857142857142,False,False,True,False,False,False,False,True
15,1,0,0,0,50,2023,15,15,2,2.0,4.0,4.857142857142857,False,False,True,False,False,False,False,True
16,1,0,0,0,50,2023,15,15,2,9.0,0.0,9.142857142857142,False,False,True,False,False,False,False,True
17,1,0,0,0,50,2023,15,15,2,11.0,13.0,6.428571428571429,False,False,True,False,False,False,False,True
18,1,0,0,0,50,2023,15,15,2,26.0,8.0,14.0,False,False,True,False,False,False,False,True
19,1,0,0,0,50,2023,15,15,2,13.0,8.0,14.0,False,False,True,False,False,False,False,True
20,1,0,0,0,50,2023,15,15,2,20.0,7.0,14.285714285714286,False,False,True,False,False,False,False,True
21,1,0,0,0,50,2023,15,15,2,12.0,5.0,7.285714285714286,False,False,True,False,False,False,False,True
22,1,0,0,0,50,2023,15,15,2,4.0,0.0,4.428571428571429,False,False,True,False,False,False,False,True
11,1,0,0,0,21,2023,16,16,3,5.0,0.0,4.714285714285714,True,False,False,False,False,False,False,False
12,1,0,0,0,21,2023,16,16,3,12.0,4.0,10.714285714285714,True,False,False,False,False,False,False,False
13,1,0,0,0,21,2023,16,16,3,12.0,3.0,15.571428571428571,True,False,False,False,False,False,False,False
14,1,0,0,0,21,2023,16,16,3,13.0,1.0,9.857142857142858,True,False,False,False,False,False,False,False
15,1,0,0,0,21,2023,16,16,3,2.0,6.0,4.0,True,False,False,False,False,False,False,False
16,1,0,0,0,21,2023,16,16,3,14.0,6.0,8.285714285714286,True,False,False,False,False,False,False,False
17,1,0,0,0,21,2023,16,16,3,9.0,2.0,6.857142857142857,True,False,False,False,False,False,False,False
18,1,0,0,0,21,2023,16,16,3,7.0,5.0,13.571428571428571,True,False,False,False,False,False,False,False
19,1,0,0,0,21,2023,16,16,3,9.0,12.0,13.285714285714286,True,False,False,False,False,False,False,False
20,1,0,0,0,21,2023,16,16,3,14.0,1.0,14.857142857142858,True,False,False,False,False,False,False,False
21,1,0,0,0,21,2023,16,16,3,7.0,6.0,6.714285714285714,True,False,False,False,False,False,False,False
22,1,0,0,0,21,2023,16,16,3,5.0,9.0,4.285714285714286,True,False,False,False,False,False,False,False
11,1,0,0,1,34,2023,17,17,3,3.0,9.0,4.285714285714286,False,False,False,False,True,False,False,False
12,1,0,0,1,34,2023,17,17,3,9.0,7.0,11.428571428571429,False,False,False,False,True,False,False,False
13,1,0,0,1,34,2023,17,17,3,19.0,11.0,16.428571428571427,False,False,False,False,True,False,False,False
14,1,0,0,1,34,2023,17,17,3,13.0,13.0,9.857142857142858,False,False,False,False,True,False,False,False
15,1,0,0,1,34,2023,17,17,3,0.0,2.0,3.7142857142857144,False,False,False,False,True,False,False,False
16,1,0,0,1,34,2023,17,17,3,0.0,10.0,6.857142857142857,False,False,False,False,True,False,False,False
17,1,0,0,1,34,2023,17,17,3,5.0,14.0,6.285714285714286,False,False,False,False,True,False,False,False
18,1,0,0,1,34,2023,17,17,3,2.0,18.0,13.0,False,False,False,False,True,False,False,False
19,1,0,0,1,34,2023,17,17,3,7.0,14.0,13.857142857142858,False,False,False,False,True,False,False,False
20,1,0,0,1,34,2023,17,17,3,5.0,16.0,16.714285714285715,False,False,False,False,True,False,False,False
21,1,0,0,1,34,2023,17,17,3,2.0,8.0,7.142857142857143,False,False,False,False,True,False,False,False
22,1,0,0,1,34,2023,17,17,3,8.0,7.0,4.428571428571429,False,False,False,False,True,False,False,False
11,1,0,0,1,39,2023,18,18,3,6.0,7.0,4.0,False,False,False,False,False,True,False,True
12,1,0,0,1,39,2023,18,18,3,12.0,9.0,11.714285714285714,False,False,False,False,False,True,False,True
13,1,0,0,1,39,2023,18,18,3,17.0,5.0,17.0,False,False,False,False,False,True,False,True
14,1,0,0,1,39,2023,18,18,3,13.0,4.0,9.571428571428571,False,False,False,False,False,True,False,True
15,1,0,0,1,39,2023,18,18,3,0.0,7.0,3.4285714285714284,False,False,False,False,False,True,False,True
16,1,0,0,1,39,2023,18,18,3,0.0,5.0,6.142857142857143,False,False,False,False,False,True,False,True
17,1,0,0,1,39,2023,18,18,3,10.0,3.0,6.857142857142857,False,False,False,False,False,True,False,True
18,1,0,0,1,39,2023,18,18,3,14.0,7.0,13.285714285714286,False,False,False,False,False,True,False,True
19,1,0,0,1,39,2023,18,18,3,18.0,11.0,13.428571428571429,False,False,False,False,False,True,False,True
20,1,0,0,1,39,2023,18,18,3,29.0,13.0,17.142857142857142,False,False,False,False,False,True,False,True
21,1,0,0,1,39,2023,18,18,3,11.0,11.0,6.571428571428571,False,False,False,False,False,True,False,True
22,1,0,0,1,39,2023,18,18,3,8.0,3.0,4.571428571428571,False,False,False,False,False,True,False,True
11,1,0,0,0,85,2023,19,19,3,5.0,0.0,4.0,False,False,False,True,False,False,False,True
12,1,0,0,0,85,2023,19,19,3,11.0,7.0,12.142857142857142,False,False,False,True,False,False,False,True
13,1,0,0,0,85,2023,19,19,3,9.0,14.0,16.285714285714285,False,False,False,True,False,False,False,True
14,1,0,0,0,85,2023,19,19,3,2.0,2.0,10.857142857142858,False,False,False,True,False,False,False,True
15,1,0,0,0,85,2023,19,19,3,5.0,4.0,3.2857142857142856,False,False,False,True,False,False,False,True
16,1,0,0,0,85,2023,19,19,3,0.0,8.0,5.857142857142857,False,False,False,True,False,False,False,True
17,1,0,0,0,85,2023,19,19,3,7.0,0.0,7.571428571428571,False,False,False,True,False,False,False,True
18,1,0,0,0,85,2023,19,19,3,9.0,10.0,13.571428571428571,False,False,False,True,False,False,False,True
19,1,0,0,0,85,2023,19,19,3,8.0,14.0,14.285714285714286,False,False,False,True,False,False,False,True
20,1,0,0,0,85,2023,19,19,3,16.0,15.0,16.428571428571427,False,False,False,True,False,False,False,True
21,1,0,0,0,85,2023,19,19,3,7.0,2.0,7.285714285714286,False,False,False,True,False,False,False,True
22,1,0,0,0,85,2023,19,19,3,4.0,0.0,4.714285714285714,False,False,False,True,False,False,False,True
11,1,1,1,0,81,2023,20,20,3,0.0,9.0,3.2857142857142856,False,False,False,False,False,False,False,False
12,1,1,1,0,81,2023,20,20,3,10.0,19.0,11.714285714285714,False,False,False,False,False,False,False,False
13,1,1,1,0,81,2023,20,20,3,9.0,27.0,15.857142857142858,False,False,False,False,False,False,False,False
14,1,1,1,0,81,2023,20,20,3,11.0,16.0,11.142857142857142,False,False,False,False,False,False,False,False
15,1,1,1,0,81,2023,20,20,3,3.0,11.0,2.142857142857143,False,False,False,False,False,False,False,False
16,1,1,1,0,81,2023,20,20,3,6.0,12.0,4.857142857142857,False,False,False,False,False,False,False,False
17,1,1,1,0,81,2023,20,20,3,5.0,6.0,8.285714285714286,False,False,False,False,False,False,False,False
18,1,1,1,0,81,2023,20,20,3,12.0,25.0,12.428571428571429,False,False,False,False,False,False,False,False
19,1,1,1,0,81,2023,20,20,3,20.0,25.0,15.428571428571429,False,False,False,False,False,False,False,False
20,1,1,1,0,81,2023,20,20,3,10.0,21.0,17.0,False,False,False,False,False,False,False,False
21,1,1,1,0,81,2023,20,20,3,7.0,5.0,7.857142857142857,False,False,False,False,False,False,False,False
22,1,1,1,0,81,2023,20,20,3,1.0,3.0,5.571428571428571,False,False,False,False,False,False,False,False
11,1,1,0,0,90,2023,21,21,3,4.0,0.0,5.142857142857143,False,True,False,False,False,False,True,False
12,1,1,0,0,90,2023,21,21,3,16.0,12.0,11.571428571428571,False,True,False,False,False,False,True,False
13,1,1,0,0,90,2023,21,21,3,24.0,21.0,15.571428571428571,False,True,False,False,False,False,True,False
14,1,1,0,0,90,2023,21,21,3,18.0,8.0,11.0,False,True,False,False,False,False,True,False
15,1,1,0,0,90,2023,21,21,3,3.0,2.0,2.5714285714285716,False,True,False,False,False,False,True,False
16,1,1,0,0,90,2023,21,21,3,5.0,9.0,3.7142857142857144,False,True,False,False,False,False,True,False
17,1,1,0,0,90,2023,21,21,3,11.0,11.0,7.428571428571429,False,True,False,False,False,False,True,False
18,1,1,0,0,90,2023,21,21,3,17.0,26.0,10.142857142857142,False,True,False,False,False,False,True,False
19,1,1,0,0,90,2023,21,21,3,33.0,13.0,15.571428571428571,False,True,False,False,False,False,True,False
20,1,1,0,0,90,2023,21,21,3,25.0,20.0,15.857142857142858,False,True,False,False,False,False,True,False
21,1,1,0,0,90,2023,21,21,3,9.0,12.0,7.0,False,True,False,False,False,False,True,False
22,1,1,0,0,90,2023,21,21,3,9.0,4.0,6.142857142857143,False,True,False,False,False,False,True,False
11,1,0,0,0,85,2023,22,22,3,13.0,5.0,5.857142857142857,False,False,True,False,False,False,False,True
12,1,0,0,0,85,2023,22,22,3,11.0,12.0,10.142857142857142,False,False,True,False,False,False,False,True
13,1,0,0,0,85,2023,22,22,3,19.0,12.0,15.0,False,False,True,False,False,False,False,True
14,1,0,0,0,85,2023,22,22,3,7.0,13.0,10.142857142857142,False,False,True,False,False,False,False,True
15,1,0,0,0,85,2023,22,22,3,5.0,2.0,3.5714285714285716,False,False,True,False,False,False,False,True
16,1,0,0,0,85,2023,22,22,3,1.0,14.0,1.7142857142857142,False,False,True,False,False,False,False,True
17,1,0,0,0,85,2023,22,22,3,5.0,9.0,7.571428571428571,False,False,True,False,False,False,False,True
18,1,0,0,0,85,2023,22,22,3,10.0,7.0,10.428571428571429,False,False,True,False,False,False,False,True
19,1,0,0,0,85,2023,22,22,3,14.0,9.0,15.428571428571429,False,False,True,False,False,False,False,True
20,1,0,0,0,85,2023,22,22,3,12.0,14.0,15.571428571428571,False,False,True,False,False,False,False,True
21,1,0,0,0,85,2023,22,22,3,6.0,7.0,7.0,False,False,True,False,False,False,False,True
